subject,session,window_start_sec,window_end_sec,t_sec,ear,pitch,yaw,p_v,p_p,kss,y_binary
C,A,270.0,330.0,300.0,0.24259416745228618,-8.2755246318828,-59.608221232640766,0.0,0.7666666666666667,5.0,0
C,A,300.0,360.0,330.0,0.23829631111548136,-8.385004445670084,-58.93518680233971,0.0,0.94,5.0,0
C,A,330.0,390.0,360.0,0.21590540791814966,2.641825460719211,-56.79659921241271,0.97,0.5433333333333333,5.0,0
C,A,360.0,420.0,390.0,0.22131853275839036,7.93788020984057,-55.262270637950884,0.67,0.8566666666666667,5.0,0
C,A,390.0,450.0,420.0,0.23905943146836028,-0.2632459769128628,-33.12826202872022,0.26,0.7333333333333333,6.0,1
C,A,420.0,480.0,450.0,0.23584919859771278,2.6550550236442194,-7.439708612184157,0.7,0.7433333333333333,6.0,1
C,A,450.0,510.0,480.0,0.2267846430715434,12.988060869834515,-14.442394324512247,0.92,0.24333333333333335,5.0,0
C,A,480.0,540.0,510.0,0.228169933169537,14.316532197764309,5.681032246103987,0.5,0.9566666666666667,5.0,0
C,A,510.0,570.0,540.0,0.23687434936939322,8.06580722901333,6.5628614137800145,0.69,0.8,5.0,0
C,A,540.0,600.0,570.0,0.24007824739045264,-2.770995581768661,-40.11950831746469,0.28,0.37333333333333335,5.0,0
D,A,0.0,60.0,30.0,0.2894981021301579,-15.81705199860674,3.8177748064235866,0.74,0.92,3.0,0
D,A,30.0,90.0,60.0,0.2952732409650264,-16.44882332107765,29.51853847052149,0.74,0.81,3.0,0
D,A,60.0,120.0,90.0,0.2988028751914451,-16.955511957342473,29.62208626960302,0.75,0.6166666666666667,3.0,0
D,A,90.0,150.0,120.0,0.2916189728003485,-14.854798914663935,20.26466755152222,0.69,0.9766666666666667,4.0,0
D,A,120.0,180.0,150.0,0.29041520690300293,-13.340605705603641,38.68145451893347,0.38,0.82,4.0,0
D,A,210.0,270.0,240.0,0.29026485130963675,-14.016259400051489,1.661547677418785,0.77,0.74,4.0,0
D,A,240.0,300.0,270.0,0.285818779087864,-15.346410038211616,-27.122682145674748,0.43,0.7333333333333333,4.0,0
D,A,270.0,330.0,300.0,0.28968016499165766,-18.925982470193254,-45.68565250702229,0.44,0.8833333333333333,6.0,1
D,A,300.0,360.0,330.0,0.2900435232042476,-19.597105020292606,-51.856802318135244,0.67,0.8933333333333333,6.0,1
D,A,330.0,390.0,360.0,0.28518230643305464,-18.567508663593177,-39.4169533737321,0.37,0.79,7.0,1
D,A,360.0,420.0,390.0,0.2861658882078752,-17.837281557065523,-47.70230100546446,0.41,0.85,7.0,1
D,A,390.0,450.0,420.0,0.2866074070343794,-18.93625717943065,-58.16561324593407,0.46,0.8766666666666667,4.0,0
D,A,420.0,480.0,450.0,0.2884760573215378,-18.701384039882715,-39.86024631730707,0.48,0.86,4.0,0
D,A,450.0,510.0,480.0,0.2840320239334082,-15.955923195758213,-6.9388942988002755,0.55,0.5066666666666667,5.0,0
D,A,480.0,540.0,510.0,0.28237351891811835,-16.26997243305649,-27.09376972231273,0.59,0.9566666666666667,5.0,0
D,A,510.0,570.0,540.0,0.28436258993667707,-17.210535197695297,-47.40757612470347,0.3,0.92,6.0,1
D,A,540.0,600.0,570.0,0.2804599542349733,-15.020326672077324,-4.552039761323996,0.56,0.7666666666666667,6.0,1
D,D,90.0,150.0,120.0,0.2723041260738,-8.92733160231964,62.496549781233306,0.43,0.7266666666666667,7.0,1
D,D,120.0,180.0,150.0,0.27689019907507806,-8.132890684688393,61.805551662761786,0.9,0.9033333333333333,7.0,1
D,D,150.0,210.0,180.0,0.2753645743277106,-8.076583600880552,36.833499542088724,0.31,0.7766666666666666,7.0,1
D,D,180.0,240.0,210.0,0.27058927828346463,-9.216933119778066,1.4278770013889892,0.57,0.8066666666666666,7.0,1
D,D,210.0,270.0,240.0,0.2646199122951431,-9.1275363894698,26.576364699392414,0.44,0.71,8.0,1
D,D,240.0,300.0,270.0,0.26985687546046716,-6.867860534843487,61.746883195132725,0.91,0.8666666666666667,8.0,1
D,D,270.0,330.0,300.0,0.2810428840366205,-5.175295375910954,61.35292716770107,0.83,0.8066666666666666,8.0,1
